BusinessShortNumber,BusinessNumber,IdBill,einigungskonferenz,einigungskonferenz_ang,LegislativePeriodNumber,rounds,diff,DepartmentAbbreviation,DepartmentName,year,pol_diff,lsq,party_pol
00.006,20000006,198caa8a-037b-41c0-ad40-629081446647,0,NA,46,2,0,BK,Bundeskanzlei,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.008,20000008,026f1578-ee45-46b2-b7f7-b75573ec3560,0,NA,46,6,4,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.009,20000009,9190929a-4020-4648-8269-38e53bb849ae,0,NA,46,2,0,VBS,"Departement für Verteidigung, Bevölkerungsschutz und Sport",1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.010,20000010,0f5c3294-2b88-423f-b4d4-d7e46d893f1c,0,NA,46,2,0,EFD,Finanzdepartement,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.010,20000010,801fa75b-f60f-4b25-938e-36455bb44972,0,NA,46,2,0,EFD,Finanzdepartement,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.011,20000011,35d0ed59-2b01-446b-be65-0747c7e793f2,0,NA,46,2,0,EFD,Finanzdepartement,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.012,20000012,5075ed10-1aad-4901-a41b-3ac55ee81cf0,0,NA,46,2,0,EVD,Volkswirtschaftsdepartement,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.013,20000013,9b217fe8-b796-48dc-8ee0-788355cebc02,0,NA,46,4,2,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.013,20000013,ccc19d83-fad6-47e2-a356-90cefdc84311,0,NA,46,3,1,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.013,20000013,dae7e4b3-1405-4139-9721-444a6c20cbd1,0,NA,46,3,1,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.013,20000013,e5a41b9a-e9aa-4ef2-bb8e-ac71bc05fb87,0,NA,46,3,1,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.014,20000014,400fed45-ec21-4348-96ed-044d0d1953ee,0,NA,46,3,1,EDI,Departement des Innern,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.014,20000014,64cc41de-2da1-4162-aa45-55baf84414fc,1,1,46,8,5,EDI,Departement des Innern,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.014,20000014,f4d778ee-eae3-4c1a-8d8e-1f27d35dd182,1,1,46,8,5,EDI,Departement des Innern,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.015,20000015,7ca3c9b2-558c-4ad9-b1c8-4f554fae9a53,0,NA,46,3,1,EVD,Volkswirtschaftsdepartement,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.015,20000015,9cf50795-a28b-4106-8126-98013335dae5,0,NA,46,2,0,EVD,Volkswirtschaftsdepartement,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.017,20000017,c6d5732c-1646-4787-a460-7d23b2449b28,0,NA,46,2,0,EFD,Finanzdepartement,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
00.018,20000018,11ff68c5-e4c4-471e-ba77-66428f3fa5e1,0,NA,46,3,1,EJPD,Justiz- und Polizeidepartement,1999,0.3011111111111111,0.19124188032469103,2.1666666666666665
